iter	Passed	Remaining
0	59	59004
1	59	29634
2	59	19835
3	59	14934
4	60	11990
5	60	10024
6	60	8622
7	61	7569
8	61	6751
9	61	6097
10	61	5561
11	62	5115
12	62	4737
13	62	4413
14	62	4134
15	63	3889
16	63	3673
17	63	3481
18	64	3308
19	64	3152
20	64	3012
21	64	2883
22	65	2767
23	65	2660
24	65	2561
25	65	2469
26	66	2385
27	66	2306
28	66	2232
29	66	2164
30	67	2099
31	67	2039
32	67	1982
33	67	1929
34	68	1879
35	68	1832
36	68	1787
37	68	1744
38	69	1704
39	69	1665
40	69	1629
41	69	1594
42	70	1561
43	70	1529
44	70	1499
45	70	1470
46	71	1443
47	71	1416
48	71	1390
49	71	1366
50	72	1342
51	72	1320
52	72	1298
53	72	1277
54	73	1256
55	73	1237
56	73	1218
57	73	1199
58	74	1181
59	74	1164
60	74	1147
61	74	1131
62	75	1116
63	75	1100
64	75	1086
65	75	1072
66	76	1058
67	76	1042
68	76	1030
69	76	1017
70	76	1004
71	77	992
72	77	981
73	77	969
74	77	958
75	77	947
76	78	937
77	78	927
78	78	917
79	78	907
80	79	897
81	79	888
82	79	879
83	79	870
84	79	860
85	80	851
86	80	842
87	80	834
88	80	826
89	80	818
90	81	810
91	81	803
92	81	796
93	81	789
94	82	782
95	82	775
96	82	768
97	82	761
98	82	755
99	83	748
100	83	742
101	83	735
102	83	729
103	83	723
104	84	717
105	84	711
106	84	705
107	84	700
108	85	694
109	85	689
110	85	684
111	85	679
112	85	674
113	86	669
114	86	664
115	86	659
116	86	654
117	86	649
118	87	644
119	87	640
120	87	635
121	87	631
122	87	626
123	88	621
124	88	617
125	88	613
126	88	609
127	88	605
128	89	601
129	89	597
130	89	593
131	89	590
132	89	586
133	90	582
134	90	579
135	90	575
136	90	572
137	91	568
138	91	565
139	91	561
140	91	558
141	91	555
142	92	552
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	534
149	93	531
150	94	529
151	94	526
152	94	523
153	94	520
154	95	518
155	95	515
156	95	513
157	95	510
158	96	507
159	96	505
160	96	502
161	96	500
162	96	497
163	97	495
164	97	493
165	97	490
166	97	488
167	98	486
168	98	483
169	98	481
170	98	479
171	99	476
172	99	474
173	99	472
174	99	470
175	100	468
176	100	466
177	100	464
178	100	461
179	100	459
180	101	457
181	101	455
182	101	453
183	101	451
184	102	449
185	102	447
186	102	445
187	102	443
188	102	441
189	103	439
190	103	437
191	103	436
192	103	434
193	104	432
194	104	430
195	104	429
196	104	427
197	105	425
198	105	423
199	105	422
200	105	420
201	106	418
202	106	417
203	106	415
204	106	413
205	106	412
206	107	410
207	107	409
208	107	407
209	107	405
210	108	404
211	108	402
212	108	401
213	108	399
214	109	398
215	109	397
216	109	395
217	109	394
218	110	392
219	110	391
220	110	389
221	110	388
222	111	386
223	111	385
224	111	384
225	111	382
226	111	381
227	112	379
228	112	378
229	112	377
230	112	375
231	113	374
232	113	373
233	113	372
234	113	370
235	114	369
236	114	368
237	114	366
238	114	365
239	115	364
240	115	363
241	115	361
242	115	360
243	116	359
244	116	358
245	116	357
246	116	355
247	116	354
248	117	353
249	117	352
250	117	351
251	117	350
252	118	348
253	118	347
254	118	346
255	118	345
256	119	344
257	119	343
258	119	342
259	119	341
260	120	339
261	120	338
262	120	337
263	120	336
264	120	335
265	121	334
266	121	333
267	121	332
268	121	331
269	122	330
270	122	329
271	122	328
272	122	327
273	123	326
274	123	325
275	123	324
276	123	323
277	124	322
278	124	321
279	124	320
280	124	319
281	125	318
282	125	317
283	125	316
284	125	315
285	125	314
286	126	313
287	126	312
288	126	311
289	126	310
290	127	309
291	127	308
292	127	307
293	127	306
294	128	306
295	128	305
296	128	304
297	128	303
298	128	302
299	129	301
300	129	300
301	129	299
302	129	298
303	130	298
304	130	297
305	130	296
306	130	295
307	131	294
308	131	293
309	131	292
310	131	292
311	132	291
312	132	290
313	132	289
314	132	288
315	133	288
316	133	287
317	133	286
318	133	285
319	134	284
320	134	283
321	134	283
322	134	282
323	134	281
324	135	280
325	135	279
326	135	279
327	135	278
328	136	277
329	136	276
330	136	276
331	136	275
332	137	274
333	137	273
334	137	273
335	137	272
336	138	271
337	138	270
338	138	270
339	138	269
340	138	268
341	139	267
342	139	267
343	139	266
344	139	265
345	140	264
346	140	264
347	140	263
348	140	262
349	141	262
350	141	261
351	141	260
352	141	259
353	142	259
354	142	258
355	142	257
356	142	257
357	142	256
358	143	255
359	143	254
360	143	254
361	143	253
362	144	252
363	144	252
364	144	251
365	144	250
366	145	250
367	145	249
368	145	248
369	145	248
370	145	247
371	146	246
372	146	246
373	146	245
374	146	244
375	147	244
376	147	243
377	147	242
378	147	242
379	148	241
380	148	240
381	148	240
382	148	239
383	148	238
384	149	238
385	149	237
386	149	237
387	149	236
388	150	235
389	150	235
390	150	234
391	150	234
392	151	233
393	151	232
394	151	232
395	151	231
396	152	230
397	152	230
398	152	229
399	152	229
400	153	228
401	153	228
402	153	227
403	153	227
404	154	226
405	154	226
406	154	225
407	155	224
408	155	224
409	155	223
410	155	223
411	155	222
412	156	222
413	156	221
414	156	220
415	156	220
416	157	219
417	157	219
418	157	218
419	157	217
420	158	217
421	158	216
422	158	216
423	158	215
424	159	215
425	159	214
426	159	214
427	159	213
428	159	212
429	160	212
430	160	211
431	160	211
432	160	210
433	161	210
434	161	209
435	161	209
436	161	208
437	162	208
438	162	207
439	162	207
440	162	206
441	163	205
442	163	205
443	163	204
444	163	204
445	164	203
446	164	203
447	164	202
448	164	202
449	165	201
450	165	201
451	165	200
452	165	200
453	166	199
454	166	199
455	166	198
456	166	198
457	167	197
458	167	197
459	167	196
460	167	196
461	168	195
462	168	195
463	168	194
464	168	194
465	168	193
466	169	193
467	169	192
468	169	192
469	169	191
470	170	191
471	170	190
472	170	190
473	170	189
474	171	189
475	171	188
476	171	188
477	171	187
478	171	187
479	172	186
480	172	186
481	172	185
482	172	185
483	173	184
484	173	184
485	173	183
486	173	183
487	174	182
488	174	182
489	174	181
490	174	181
491	175	180
492	175	180
493	175	179
494	175	179
495	175	178
496	176	178
497	176	177
498	176	177
499	176	176
500	177	176
501	177	175
502	177	175
503	177	175
504	178	174
505	178	174
506	178	173
507	178	173
508	179	172
509	179	172
510	179	171
511	179	171
512	180	170
513	180	170
514	180	170
515	180	169
516	181	169
517	181	168
518	181	168
519	181	167
520	182	167
521	182	166
522	182	166
523	182	165
524	182	165
525	183	165
526	183	164
527	183	164
528	183	163
529	184	163
530	184	162
531	184	162
532	184	162
533	185	161
534	185	161
535	185	160
536	185	160
537	186	159
538	186	159
539	186	158
540	186	158
541	187	158
542	187	157
543	187	157
544	187	156
545	187	156
546	188	155
547	188	155
548	188	155
549	188	154
550	189	154
551	189	153
552	189	153
553	189	152
554	190	152
555	190	152
556	190	151
557	190	151
558	191	150
559	191	150
560	191	149
561	191	149
562	192	149
563	192	148
564	192	148
565	192	147
566	193	147
567	193	147
568	193	146
569	193	146
570	194	145
571	194	145
572	194	144
573	194	144
574	194	144
575	195	143
576	195	143
577	195	142
578	196	142
579	196	142
580	196	141
581	196	141
582	197	141
583	197	140
584	197	140
585	197	139
586	198	139
587	198	139
588	198	138
589	199	138
590	199	137
591	199	137
592	199	137
593	200	136
594	200	136
595	200	135
596	200	135
597	201	135
598	201	134
599	201	134
600	201	134
601	202	133
602	202	133
603	202	132
604	203	132
605	203	132
606	203	131
607	203	131
608	204	131
609	204	130
610	204	130
611	204	129
612	205	129
613	205	129
614	205	128
615	206	128
616	206	128
617	206	127
618	206	127
619	207	126
620	207	126
621	207	126
622	207	125
623	208	125
624	208	125
625	208	124
626	209	124
627	209	124
628	210	123
